Random waveform, supplied seed
Total number of intervals = 120 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791)
Average QPS expected = 51270
Timestamp start: 1684507117941
Timestamp end: 1684508318443

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      341.5   186.1   160.7   210.1   223.1   306.0   358.5   393.7   422.7   460.1   509.8   581.8   718.4  1227.0  6982.5  79959.4    79937
read      431.1   390.5   173.5   260.5   287.5   402.8   445.3   468.5   488.3   509.9   543.1   596.7   776.2  7439.0 14112.1   7269.7     7271
read      334.8   165.1   160.7   209.1   221.9   302.8   353.5   385.9   411.4   445.1   491.4   558.9   696.0  1270.1  5678.7  85799.0    85861
read      330.8   182.5   160.7   209.1   221.8   299.6   347.3   377.8   401.8   433.4   477.5   544.9   681.4  1440.0  7472.0  91460.3    91467
read      346.3   193.6   160.7   210.8   224.1   309.9   363.6   399.8   431.1   471.1   524.6   591.9   715.4  1225.9  8821.3  72206.0    72217
read      386.9   226.2   160.7   214.9   229.2   342.6   440.1   490.1   521.0   551.4   586.4   635.8   760.2  1655.7  9060.4  31079.6    31080
read      345.2   201.6   160.7   210.4   223.7   309.1   361.8   396.7   426.3   464.7   517.2   587.7   724.8  1493.7  8375.9  76818.7    76878
read      338.1   171.0   160.7   209.5   222.6   305.2   356.5   389.7   416.3   451.4   499.7   570.9   706.4  1249.1  5894.2  84588.3    84584
read      423.0   319.3   160.7   238.2   260.1   409.8   464.5   492.7   511.4   534.5   562.6   609.3   741.4  4633.2 13403.2  12528.3    12492
read      371.7   189.7   160.7   216.2   230.0   330.5   395.7   441.2   479.0   524.8   575.5   638.7   777.9  1492.0  6578.3  57186.5    57106
read      333.3   174.1   160.7   210.3   223.2   302.8   350.4   381.0   404.2   435.4   479.1   547.2   697.1  1152.3  8161.2  96219.8    96245
read      420.5   338.8   160.7   264.0   289.4   395.8   436.1   460.3   477.5   500.8   531.1   581.3   741.3  5758.2 12982.5   6806.3     6791

Total QPS = 51258.8 (61510608 / 1200.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 15193120423 bytes :   12.1 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.96%,45.13%,100.00%
