Random waveform, random seed
Total number of intervals = 120 (21257, 98472, 99385, 54860, 74812, 34374, 56412, 25022, 13667, 40991, 17264, 68474, 16258, 78637, 98263, 9582, 68051, 22444, 99304, 17067, 85588, 72585, 47753, 39595, 20887, 62903, 63533, 99741, 55201, 7634, 13982, 19855, 97801, 36001, 47073, 19170, 86409, 96132, 93091, 8683, 70231, 96349, 36092, 56170, 45086, 56355, 15811, 70698, 61639, 88560, 55595, 72643, 64080, 72644, 85604, 61949, 87359, 10901, 94842, 72605, 84828, 20798, 80234, 61141, 80390, 21672, 43890, 5333, 11671, 32970, 21506, 19175, 68977, 20688, 50117, 57099, 77177, 76678, 47281, 82491, 74986, 15991, 52696, 88814, 41079, 76563, 17491, 81333, 96770, 86331, 25887, 22408, 77311, 40381, 32535, 25963, 60651, 16279, 42716, 33724, 61095, 70459, 30772, 39467, 55219, 25868, 86768, 52291, 26145, 72902, 44359, 96828, 12564, 28113, 88793, 69276, 6714, 39313, 35453, 51764)
Average QPS expected = 52763
Timestamp start: 1684510768352
Timestamp end: 1684511968760

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      399.7   350.4   160.7   213.6   227.6   325.8   405.1   469.3   519.5   573.5   637.8   747.4  1102.2  4081.2 10123.7  57043.6    57099
read      375.3   315.9   160.7   212.7   226.2   316.5   377.5   422.7   461.4   510.9   578.8   685.4  1022.2  3032.9 10061.4  77325.6    77177
read      382.1   295.6   160.7   214.5   228.1   322.2   386.3   431.8   470.2   521.9   589.4   703.0  1067.7  2971.0 10390.4  76643.3    76678
read      385.8   246.2   160.7   212.5   226.6   327.3   406.6   467.9   513.7   560.4   611.8   684.2   917.3  2651.9  8041.2  47274.1    47281
read      339.6   202.8   160.7   208.0   221.3   306.1   358.5   392.0   419.0   454.1   502.0   573.4   707.7  1142.4  8747.5  82722.3    82491
read      344.1   165.2   160.7   208.2   221.7   309.9   364.5   399.9   429.6   467.9   519.7   587.9   717.3  1135.3  5742.5  74956.9    74986
read      409.6   265.7   160.7   225.5   244.4   397.7   461.9   492.1   511.8   534.8   563.0   610.4   745.8  3199.9 11068.6  16044.9    15991
read      371.4   208.4   160.7   213.7   228.5   327.0   395.6   445.2   485.3   530.4   578.4   637.4   769.3  1345.4  8987.6  52790.5    52696
read      340.6   178.3   160.7   209.5   223.3   309.5   361.0   393.2   418.7   451.6   497.1   566.2   705.4  1395.5  6396.3  88759.8    88814
read      383.1   215.6   160.7   212.3   226.9   332.7   419.3   478.9   519.4   559.7   603.2   661.2   797.1  1673.6  8598.4  41179.1    41079
